Õ# ready
# ms,pwm,rpm,ris,rispk,lis
9023,200,86,318,630,0
9123,200,86,305,600,0
9223,200,85,355,709,0
9323,200,83,383,712,0
9423,200,86,310,623,0
9523,200,86,327,676,0
9623,200,84,340,673,0
9723,200,84,462,843,0
9823,200,80,323,686,0
9923,200,83,361,741,0
10023,200,85,359,721,0
10123,200,82,310,612,0
10223,200,82,388,724,0
10323,200,86,393,776,0
10423,200,84,342,682,0
10523,200,85,315,658,0
10623,200,85,324,624,0
10723,200,86,392,774,0
10823,200,82,319,652,0
10923,200,86,343,683,0
11023,200,86,286,600,0
11123,200,87,373,745,0
11223,200,83,309,641,0
11323,200,86,328,700,0
11423,200,86,331,656,0
11523,200,86,339,675,0
11623,200,85,347,685,0
11723,200,85,283,643,0
11823,200,88,265,580,0
11923,200,87,293,626,0
12023,200,86,340,704,0
12123,200,86,281,600,0
12223,200,83,354,736,0
12323,200,86,341,673,0
12423,200,85,285,607,0
12523,200,88,295,635,0
12623,200,86,318,652,0
12723,200,86,341,668,0
12823,200,82,455,863,0
12923,200,83,387,760,0
13023,200,85,290,587,0
13123,200,85,377,748,0
13223,200,83,403,774,0
13323,200,86,279,590,0
13423,200,85,361,742,0
13523,200,83,327,684,0
13623,200,86,324,622,0
13723,200,87,305,650,0
13823,200,86,319,692,0
13923,200,88,261,560,0
14023,200,87,318,629,0
14123,200,88,305,635,0
14223,200,86,311,675,0
14323,200,87,298,611,0
14423,200,86,399,787,0
14523,200,85,276,618,0
14623,200,86,291,656,0
14723,200,85,331,668,0
14823,200,87,303,648,0
14923,200,86,356,683,0
15023,200,83,323,691,0
15123,200,84,371,715,0
15223,200,86,336,683,0
15323,200,85,330,688,0
15423,200,83,376,697,0
15523,200,83,363,727,0
15623,200,84,352,677,0
15723,200,84,279,604,0
15823,200,88,319,677,0
15923,200,84,382,774,0
16023,200,82,382,788,0
16123,200,86,317,652,0
16223,200,84,389,737,0
16323,200,84,337,681,0
16423,200,86,333,666,0
16523,200,85,360,707,0
16623,200,81,378,730,0
16723,200,87,308,638,0
16823,200,88,274,622,0
16923,200,87,252,535,0
17023,200,90,264,548,0
17123,200,86,327,641,0
17223,200,84,346,680,0
17323,200,86,363,716,0
17423,200,83,383,765,0
17523,200,85,298,612,0
17623,200,86,270,564,0
17723,200,88,333,681,0
17823,200,83,289,565,0
17923,200,88,334,669,0
18023,200,88,278,581,0
18123,200,88,297,647,0
18223,200,88,305,662,0
18323,200,85,347,745,0
18423,200,83,342,680,0
18523,200,86,390,758,0
18623,200,85,330,679,0
18723,200,84,320,701,0
18823,200,87,324,694,0
18923,200,85,301,617,0
19023,200,87,342,650,0
19123,200,86,377,717,0
19223,200,84,315,694,0
19323,200,86,288,596,0
19423,200,88,287,596,0
19523,200,88,324,643,0
19623,200,86,281,627,0
19723,200,88,333,675,0
19823,200,83,343,699,0
19923,200,88,278,583,0
20023,200,86,274,547,0
20123,200,86,309,624,0
20223,200,87,283,627,0
20323,200,86,350,744,0
20423,200,83,380,753,0
20523,200,85,312,635,0
20623,200,86,293,648,0
20723,200,86,385,749,0
20823,200,83,302,672,0
20923,200,86,307,684,0
21023,200,84,345,733,0
21123,200,86,350,676,0
21223,200,88,268,601,0
21323,200,86,314,669,0
21423,200,84,373,716,0
21523,200,83,343,659,0
21623,200,86,305,632,0
21723,200,88,301,636,0
21823,200,85,289,599,0
21923,200,88,316,661,0
22023,200,83,363,704,0
22123,200,84,432,800,0
22223,200,84,302,617,0
22323,200,86,339,691,0
22423,200,84,325,633,0
22523,200,88,262,601,0
22623,200,86,310,643,0
22723,200,86,307,607,0
22823,200,87,316,668,0
22923,200,87,314,637,0
23023,200,83,399,759,0
23123,200,86,362,702,0
23223,200,84,356,759,0
23323,200,83,342,679,0
23423,200,86,310,620,0
23523,200,88,264,562,0
23623,200,88,264,572,0
23723,200,88,281,611,0
23823,200,88,265,652,0
23923,200,86,306,670,0
24023,200,85,412,740,0
24123,200,85,308,679,0
24223,200,84,362,679,0
24323,200,88,294,638,0
24423,200,86,325,658,0
24523,200,83,369,726,0
24623,200,80,413,810,0
24723,200,85,367,726,0
24823,200,83,359,685,0
24923,200,85,322,668,0
25023,200,85,275,575,0
25123,200,86,527,953,0
25223,200,83,262,630,0
25323,200,86,416,825,0
25423,200,82,310,652,0
25523,200,86,296,646,0
25623,200,83,439,818,0
25723,200,84,301,613,0
25823,200,86,321,647,0
25923,200,86,275,633,0
26023,200,87,283,575,0
26123,200,87,322,687,0
26223,200,84,332,714,0
26323,200,85,360,723,0
26423,200,84,459,864,0
26523,200,83,271,564,0
26623,200,87,264,590,0
26723,200,86,259,577,0
26823,200,86,335,672,0
26923,200,86,294,591,0
27023,200,85,336,656,0
27123,200,86,281,589,0
27223,200,84,402,755,0
27323,200,85,282,620,0
27423,200,88,305,627,0
27523,200,88,260,620,0
27623,200,86,297,600,0
27723,200,86,300,618,0
27823,200,85,335,626,0
27923,200,88,293,663,0
28023,200,86,335,681,0
28123,200,85,289,602,0
28223,200,86,342,719,0
28323,200,87,260,566,0
28423,200,86,382,739,0
28523,200,84,315,637,0
28623,200,86,269,620,0
28723,200,89,250,571,0
28823,200,87,314,658,0
28923,200,86,360,689,0
29023,200,86,280,597,0
29123,200,86,328,699,0
29223,200,86,274,611,0
29323,200,86,347,654,0
29423,200,83,423,821,0
29523,200,82,389,748,0
29623,200,83,424,783,0
29723,200,84,326,687,0
29823,200,83,430,813,0
29923,200,85,379,727,0
30023,200,82,398,759,0
30123,200,86,268,604,0
30223,200,86,337,681,0
30323,200,81,403,772,0
30423,200,84,328,660,0
30523,200,86,288,616,0
30623,200,85,367,753,0
30723,200,86,312,643,0
30823,200,84,340,697,0
30923,200,81,478,892,0
31023,200,81,389,761,0
31123,200,84,326,654,0
31223,200,85,316,691,0
31323,200,83,420,803,0
31423,200,81,391,788,0
31523,200,85,305,647,0
31623,200,87,380,716,0
31723,200,83,299,638,0
31823,200,83,340,701,0
31923,200,86,416,805,0
32023,200,83,320,632,0
32123,200,86,309,667,0
32223,200,87,351,689,0
32323,200,81,347,708,0
32423,200,86,312,703,0
32523,200,85,320,710,0
32623,200,83,315,621,0
32723,200,87,290,588,0
32823,200,86,349,733,0
32923,200,85,421,794,0
33023,200,86,285,613,0
33123,200,88,352,759,0
33223,200,84,388,746,0
33323,200,85,331,696,0
33423,200,85,423,812,0
33523,200,83,379,714,0
33623,200,85,306,646,0
33723,200,88,283,636,0
33823,200,85,346,727,0
33923,200,85,379,699,0
34023,200,83,349,729,0
34123,200,84,399,763,0
34223,200,85,332,666,0
34323,200,85,332,681,0
34423,200,86,317,651,0
34523,200,85,368,754,0
34623,200,86,247,581,0
34723,200,88,314,671,0
34823,200,86,281,563,0
34923,200,86,285,576,0
35023,200,88,276,626,0
35123,200,86,458,838,0
35223,200,82,391,749,0
35323,200,85,431,781,0
35423,200,86,347,707,0
35523,200,86,293,603,0
35623,200,86,308,638,0
35723,200,88,279,597,0
35823,200,83,423,833,0
35923,200,83,329,681,0
36023,200,87,241,564,0
36123,200,88,288,601,0
36223,200,86,305,617,0
36323,200,88,310,662,0
36423,200,84,338,705,0
36523,200,83,371,746,0
36623,200,85,343,689,0
36723,200,83,403,733,0
36823,200,85,385,790,0
36923,200,80,369,706,0
37023,200,83,341,734,0
37123,200,86,370,764,0
37223,200,85,268,574,0
37323,200,85,435,833,0
37423,200,81,402,763,0
37523,200,83,340,748,0
37623,200,86,322,635,0
37723,200,83,418,800,0
37823,200,80,342,717,0
37923,200,86,313,620,0
38023,200,86,309,677,0
38123,200,85,325,659,0
38223,200,83,332,664,0
38323,200,87,362,749,0
38423,200,86,335,669,0
38523,200,87,320,635,0
38623,200,84,325,640,0
38723,200,86,313,708,0
38823,200,86,352,687,0
38923,200,85,318,648,0
39023,200,85,289,597,0
39123,200,86,303,620,0
39223,200,88,321,642,0
39323,200,84,314,669,0
39423,200,84,371,776,0
39523,200,85,352,691,0
39623,200,84,351,695,0
39723,200,83,424,794,0
39823,200,85,311,674,0
39923,200,86,319,618,0
40023,200,88,305,637,0
40123,200,86,297,664,0
40223,200,85,360,671,0
40323,200,85,336,671,0
40423,200,87,312,656,0
40523,200,85,392,764,0
40623,200,86,301,622,0
40723,200,88,273,608,0
40823,200,87,293,622,0
40923,200,88,323,637,0
41023,200,84,333,692,0
41123,200,86,292,629,0
41223,200,88,256,598,0
41323,200,86,337,719,0
41423,200,86,388,767,0
41523,200,83,329,679,0
41623,200,84,340,721,0
41723,200,86,315,679,0
41823,200,87,330,656,0
41923,200,83,362,750,0
42023,200,86,412,801,0
42123,200,86,284,619,0
42223,200,83,475,887,0
42323,200,85,260,568,0
42423,200,86,316,637,0
42523,200,86,296,634,0
42623,200,87,265,561,0
42723,200,86,353,712,0
42823,200,86,248,533,0
42923,200,85,353,686,0
43023,200,86,299,622,0
43123,200,88,322,654,0
43223,200,84,303,644,0
43323,200,88,318,686,0
43423,200,87,259,603,0
43523,200,86,270,613,0
43623,200,88,319,666,0
43723,200,87,372,683,0
43823,200,82,329,650,0
43923,200,86,277,607,0
44023,200,86,303,597,0
44123,200,86,297,654,0
44223,200,85,277,623,0
44323,200,88,369,726,0
44423,200,87,247,543,0
44523,200,88,313,621,0
44623,200,88,243,580,0
44723,200,88,312,616,0
44823,200,85,407,781,0
44923,200,86,275,568,0
# end rpmMax=90 risMax=527 ms=45020
